"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"112854","*****","0500000US12035","Flagler County, Florida"
"11914","*****","0500000US12037","Franklin County, Florida"
"45787","*****","0500000US12039","Gadsden County, Florida"
"18245","*****","0500000US12041","Gilchrist County, Florida"
"13777","*****","0500000US12043","Glades County, Florida"
"15073","*****","0500000US12045","Gulf County, Florida"
"14397","*****","0500000US12047","Hamilton County, Florida"
"27027","*****","0500000US12049","Hardee County, Florida"
"41472","*****","0500000US12051","Hendry County, Florida"
"190700","*****","0500000US12053","Hernando County, Florida"
"104574","*****","0500000US12055","Highlands County, Florida"
"1451358","*****","0500000US12057","Hillsborough County, Florida"
"19530","*****","0500000US12059","Holmes County, Florida"
"156964","*****","0500000US12061","Indian River County, Florida"
"47409","*****","0500000US12063","Jackson County, Florida"
"14278","*****","0500000US12065","Jefferson County, Florida"
"8576","*****","0500000US12067","Lafayette County, Florida"
"356115","*****","0500000US12069","Lake County, Florida"
"756570","*****","0500000US12071","Lee County, Florida"
"291863","*****","0500000US12073","Leon County, Florida"
"40979","*****","0500000US12075","Levy County, Florida"
"8333","*****","0500000US12077","Liberty County, Florida"
"18557","*****","0500000US12079","Madison County, Florida"
"393847","*****","0500000US12081","Manatee County, Florida"
"360210","*****","0500000US12083","Marion County, Florida"
"160420","*****","0500000US12085","Martin County, Florida"
"2705528","*****","0500000US12086","Miami-Dade County, Florida"
"75137","*****","0500000US12087","Monroe County, Florida"
"85762","*****","0500000US12089","Nassau County, Florida"
"207430","*****","0500000US12091","Okaloosa County, Florida"
"41611","*****","0500000US12093","Okeechobee County, Florida"
"1373784","*****","0500000US12095","Orange County, Florida"
"363666","*****","0500000US12097","Osceola County, Florida"
"1482057","*****","0500000US12099","Palm Beach County, Florida"
"539885","*****","0500000US12101","Pasco County, Florida"
"970985","*****","0500000US12103","Pinellas County, Florida"
"705735","*****","0500000US12105","Polk County, Florida"
"73784","*****","0500000US12107","Putnam County, Florida"
"255410","*****","0500000US12109","St. Johns County, Florida"
"320914","*****","0500000US12111","St. Lucie County, Florida"
"179587","*****","0500000US12113","Santa Rosa County, Florida"
"427766","*****","0500000US12115","Sarasota County, Florida"
"466695","*****","0500000US12117","Seminole County, Florida"
"129938","*****","0500000US12119","Sumter County, Florida"
"44290","*****","0500000US12121","Suwannee County, Florida"
"21709","*****","0500000US12123","Taylor County, Florida"
"15282","*****","0500000US12125","Union County, Florida"
"546107","*****","0500000US12127","Volusia County, Florida"
"32855","*****","0500000US12129","Wakulla County, Florida"
"71049","*****","0500000US12131","Walton County, Florida"
"25094","*****","0500000US12133","Washington County, Florida"
"18428","*****","0500000US13001","Appling County, Georgia"
"8311","*****","0500000US13003","Atkinson County, Georgia"
"11140","*****","0500000US13005","Bacon County, Georgia"
"3090","*****","0500000US13007","Baker County, Georgia"
"45072","*****","0500000US13009","Baldwin County, Georgia"
"18900","21","0500000US13011","Banks County, Georgia"
"81294","*****","0500000US13013","Barrow County, Georgia"
"106456","*****","0500000US13015","Bartow County, Georgia"
"16889","*****","0500000US13017","Ben Hill County, Georgia"
"19206","*****","0500000US13019","Berrien County, Georgia"
"153026","*****","0500000US13021","Bibb County, Georgia"
"12870","*****","0500000US13023","Bleckley County, Georgia"
"18924","*****","0500000US13025","Brantley County, Georgia"
"15548","*****","0500000US13027","Brooks County, Georgia"
"38321","*****","0500000US13029","Bryan County, Georgia"
"77719","*****","0500000US13031","Bulloch County, Georgia"
"22567","*****","0500000US13033","Burke County, Georgia"
"24463","*****","0500000US13035","Butts County, Georgia"
"6301","*****","0500000US13037","Calhoun County, Georgia"
"53960","*****","0500000US13039","Camden County, Georgia"
"10834","*****","0500000US13043","Candler County, Georgia"
"118692","*****","0500000US13045","Carroll County, Georgia"
"67181","*****","0500000US13047","Catoosa County, Georgia"
"13032","*****","0500000US13049","Charlton County, Georgia"
"289649","*****","0500000US13051","Chatham County, Georgia"
"10470","*****","0500000US13053","Chattahoochee County, Georgia"
"24826","*****","0500000US13055","Chattooga County, Georgia"
"253780","*****","0500000US13057","Cherokee County, Georgia"
"126952","*****","0500000US13059","Clarke County, Georgia"
"2931","*****","0500000US13061","Clay County, Georgia"
"287560","*****","0500000US13063","Clayton County, Georgia"
"6648","*****","0500000US13065","Clinch County, Georgia"
"756653","*****","0500000US13067","Cobb County, Georgia"
"43070","*****","0500000US13069","Coffee County, Georgia"
"45510","*****","0500000US13071","Colquitt County, Georgia"
"154257","*****","0500000US13073","Columbia County, Georgia"
"17217","*****","0500000US13075","Cook County, Georgia"
"145839","*****","0500000US13077","Coweta County, Georgia"
"12267","*****","0500000US13079","Crawford County, Georgia"
"22509","*****","0500000US13081","Crisp County, Georgia"
"16183","*****","0500000US13083","Dade County, Georgia"
"25277","*****","0500000US13085","Dawson County, Georgia"
"26595","*****","0500000US13087","Decatur County, Georgia"
"755287","*****","0500000US13089","DeKalb County, Georgia"
"20725","*****","0500000US13091","Dodge County, Georgia"
"13571","*****","0500000US13093","Dooly County, Georgia"
"88696","*****","0500000US13095","Dougherty County, Georgia"
"145063","*****","0500000US13097","Douglas County, Georgia"
"10218","*****","0500000US13099","Early County, Georgia"
"3944","*****","0500000US13101","Echols County, Georgia"
"62241","*****","0500000US13103","Effingham County, Georgia"
"19164","*****","0500000US13105","Elbert County, Georgia"
"22525","*****","0500000US13107","Emanuel County, Georgia"
"10671","*****","0500000US13109","Evans County, Georgia"
"25797","*****","0500000US13111","Fannin County, Georgia"
"113544","*****","0500000US13113","Fayette County, Georgia"
"97805","*****","0500000US13115","Floyd County, Georgia"
"236605","*****","0500000US13117","Forsyth County, Georgia"
"23015","*****","0500000US13119","Franklin County, Georgia"
"1051550","*****","0500000US13121","Fulton County, Georgia"
"30986","*****","0500000US13123","Gilmer County, Georgia"
"2984","*****","0500000US13125","Glascock County, Georgia"
"85008","*****","0500000US13127","Glynn County, Georgia"
"57756","*****","0500000US13129","Gordon County, Georgia"
"24693","*****","0500000US13131","Grady County, Georgia"
"17808","*****","0500000US13133","Greene County, Georgia"
"926414","*****","0500000US13135","Gwinnett County, Georgia"
"45204","*****","0500000US13137","Habersham County, Georgia"
"201434","21","0500000US13139","Hall County, Georgia"
"8500","*****","0500000US13141","Hancock County, Georgia"
"29608","*****","0500000US13143","Haralson County, Georgia"
"34676","*****","0500000US13145","Harris County, Georgia"
"25981","*****","0500000US13147","Hart County, Georgia"
"11785","*****","0500000US13149","Heard County, Georgia"
"229994","*****","0500000US13151","Henry County, Georgia"
"155317","*****","0500000US13153","Houston County, Georgia"
"9379","*****","0500000US13155","Irwin County, Georgia"
"70467","*****","0500000US13157","Jackson County, Georgia"
"14074","*****","0500000US13159","Jasper County, Georgia"
"15063","*****","0500000US13161","Jeff Davis County, Georgia"
"15489","*****","0500000US13163","Jefferson County, Georgia"
"8787","*****","0500000US13165","Jenkins County, Georgia"
"9717","*****","0500000US13167","Johnson County, Georgia"
"28622","*****","0500000US13169","Jones County, Georgia"
"18834","*****","0500000US13171","Lamar County, Georgia"
"10534","*****","0500000US13173","Lanier County, Georgia"
"47404","*****","0500000US13175","Laurens County, Georgia"
"29735","*****","0500000US13177","Lee County, Georgia"
"62039","*****","0500000US13179","Liberty County, Georgia"
"7929","*****","0500000US13181","Lincoln County, Georgia"
"19236","*****","0500000US13183","Long County, Georgia"
"116436","*****","0500000US13185","Lowndes County, Georgia"
"33009","*****","0500000US13187","Lumpkin County, Georgia"
"21404","*****","0500000US13189","McDuffie County, Georgia"
"14217","*****","0500000US13191","McIntosh County, Georgia"
"13107","*****","0500000US13193","Macon County, Georgia"
"29624","*****","0500000US13195","Madison County, Georgia"
"8450","*****","0500000US13197","Marion County, Georgia"
"21080","*****","0500000US13199","Meriwether County, Georgia"
"5725","*****","0500000US13201","Miller County, Georgia"
"22072","*****","0500000US13205","Mitchell County, Georgia"
"27455","*****","0500000US13207","Monroe County, Georgia"
"9069","*****","0500000US13209","Montgomery County, Georgia"
"18832","*****","0500000US13211","Morgan County, Georgia"
"39789","*****","0500000US13213","Murray County, Georgia"
"195418","*****","0500000US13215","Muscogee County, Georgia"
"109835","*****","0500000US13217","Newton County, Georgia"
"39194","*****","0500000US13219","Oconee County, Georgia"
"15040","*****","0500000US13221","Oglethorpe County, Georgia"
"164440","*****","0500000US13223","Paulding County, Georgia"
"27502","*****","0500000US13225","Peach County, Georgia"
"32002","*****","0500000US13227","Pickens County, Georgia"
"19336","*****","0500000US13229","Pierce County, Georgia"
"18565","*****","0500000US13231","Pike County, Georgia"
"42251","*****","0500000US13233","Polk County, Georgia"
"11185","*****","0500000US13235","Pulaski County, Georgia"
"21906","*****","0500000US13237","Putnam County, Georgia"
"2290","256","0500000US13239","Quitman County, Georgia"
"16859","*****","0500000US13241","Rabun County, Georgia"
"6888","*****","0500000US13243","Randolph County, Georgia"
"202178","*****","0500000US13245","Richmond County, Georgia"
"90155","*****","0500000US13247","Rockdale County, Georgia"
"5215","*****","0500000US13249","Schley County, Georgia"
"13977","*****","0500000US13251","Screven County, Georgia"
"8218","*****","0500000US13253","Seminole County, Georgia"
"66043","*****","0500000US13255","Spalding County, Georgia"
"25934","*****","0500000US13257","Stephens County, Georgia"
"6446","*****","0500000US13259","Stewart County, Georgia"
"29714","*****","0500000US13261","Sumter County, Georgia"
"6245","*****","0500000US13263","Talbot County, Georgia"
"1596","256","0500000US13265","Taliaferro County, Georgia"
"25392","*****","0500000US13267","Tattnall County, Georgia"
"8126","*****","0500000US13269","Taylor County, Georgia"
"15871","*****","0500000US13271","Telfair County, Georgia"
"8654","*****","0500000US13273","Terrell County, Georgia"
"44545","*****","0500000US13275","Thomas County, Georgia"
"40590","*****","0500000US13277","Tift County, Georgia"
"26947","*****","0500000US13279","Toombs County, Georgia"
